FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::clamp_min         0.11%       3.328ms         0.23%       7.219ms      34.874us      24.076ms         2.60%      24.076ms     116.309us           207  
                                  cudaStreamSynchronize         0.22%       7.032ms         0.22%       7.032ms       2.871us       0.000us         0.00%       0.000us       0.000us          2449  
                                       RoIAlignFunction         0.17%       5.411ms         0.21%       6.697ms     558.083us       5.423ms         0.59%       5.768ms     480.667us            12  
                                    aten::empty_strided         0.20%       6.281ms         0.20%       6.348ms      11.275us       0.000us         0.00%       0.000us       0.000us           563  
                                          aten::__and__         0.01%     280.000us         0.19%       6.019ms      46.659us       0.000us         0.00%     176.000us       1.364us           129  
                                            aten::addmm         0.17%       5.386ms         0.19%       5.994ms     499.500us       5.978ms         0.65%       5.978ms     498.167us            12  
                                              aten::max         0.07%       2.122ms         0.19%       5.959ms      55.176us     605.000us         0.07%       1.219ms      11.287us           108  
                                               aten::gt         0.06%       1.936ms         0.19%       5.934ms      47.095us      85.000us         0.01%     170.000us       1.349us           126  
                                        aten::new_zeros         0.01%     281.000us         0.16%       5.082ms      40.333us       0.000us         0.00%       1.871ms      14.849us           126  
                                            aten::stack         0.02%     634.000us         0.15%       4.734ms      68.609us       0.000us         0.00%     581.000us       8.420us            69  
                                          ReluBackward1         0.03%     861.000us         0.15%       4.676ms      33.884us       0.000us         0.00%      20.820ms     150.870us           138  
                          aten::unflatten_dense_tensors         0.05%       1.581ms         0.15%       4.616ms     769.333us       0.000us         0.00%       0.000us       0.000us             6  
                                            aten::clamp         0.03%       1.058ms         0.14%       4.483ms      43.951us      69.000us         0.01%     825.000us       8.088us           102  
                                       aten::is_nonzero         0.01%     249.000us         0.13%       4.236ms      36.205us       0.000us         0.00%     116.000us       0.991us           117  
                                               aten::lt         0.04%       1.221ms         0.13%       4.085ms      48.631us      73.000us         0.01%     146.000us       1.738us            84  
                               aten::upsample_nearest2d         0.12%       3.676ms         0.12%       3.830ms     425.556us       1.780ms         0.19%       1.780ms     197.778us             9  
                               aten::threshold_backward         0.07%       2.153ms         0.12%       3.815ms      27.645us      20.820ms         2.25%      20.820ms     150.870us           138  
                                     record_param_comms         0.11%       3.538ms         0.12%       3.735ms      51.875us       0.000us         0.00%       0.000us       0.000us            72  
                                       aten::contiguous         0.01%     415.000us         0.12%       3.698ms      41.089us       0.000us         0.00%     358.000us       3.978us            90  
                                           aten::expand         0.07%       2.331ms         0.11%       3.367ms       4.188us       0.000us         0.00%       0.000us       0.000us           804  
